abstract,doi,eid,link,scholar,scopus,title,year
"Distributed denial-of-service (DDoS) attacks have emerged as a major threat to the stability of the Internet. By the very nature of the DDoS attacks, pure preventive and pure reactive approaches are not effective to defend against them. We propose a global defense infrastructure to detect-and-respond to the DDoS attacks. This infrastructure consists of a network of distributed local detection systems (LDSes), which detect attacks and respond to them cooperatively. Because of the current Internet topology, this infrastructure can be very effective even if only a small number of major backbone ISPs participate in this infrastructure by installing fully configured LDSes. Moreover, we propose to use traffic volume anomaly for DDoS attack detection. A fully configured LDS monitors the passing traffic for an abnormally high volume of traffic destined to an IP host. A DDoS attack is confirmed if multiple LDSes have detected such anomalies at the same time. Our simulation studies have demonstrated that the proposed detection algorithms are responsive and effective in curbing DDoS attacks. © 2002 IEEE.",10.1109/ICON.2002.1033348,2-s2.0-33745278421,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33745278421&origin=inward,,27.0,Engineering of a global defense infrastructure for DDoS attacks,2002
"© 2019 John Wiley & Sons, Ltd.The amount of wireless traffic is increasing at an overwhelming speed. Information-centric networking (ICN) has been proposed as a promising Future Internet Architecture, which can reduce network traffic by putting data objects toward the edge. It is expected that in information-centric mobile Internet (ICMI), the wireless traffic can be significantly reduced. Yet, DoS/DDoS attack becomes a critical issue in ICMI by causing wireless gateway blockade. To tackle the problem, we propose a dual-collaborative DoS/DDoS mitigation approach (DCMA) and advanced DCMA to protect wireless gateways. In the algorithm, the attackers' visiting information including international mobile equipment identity (IMEI) and data object name (DON) are analyzed jointly to accurately identify potential attackers through the collaboration between the Internet and mobile network. In addition, the attacker's behaviors are analyzed centrally, and security strategies are applied distributively throughout wireless edge through the collaboration between wireless core network (CN) and radio access network (RAN). Extensive simulations are performed to verify the effectiveness of the proposed algorithms. The results demonstrate that advanced DCMA can achieve high DDoS and attacker detection probability and small false positive probability.",10.1002/dac.4241,2-s2.0-85075171039,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075171039&origin=inward,,0.0,Dual-collaborative DoS/DDoS mitigation approach in information-centric mobile Internet,2020
"© 2014 IEEE.A domain name system (DNS) is one of the most important infrastructures of the Internet communication. It is also a crucial point which is subjected to attacks. The largest distributed denial-of-service (DDoS) attack on October 21, 2016 has targeted a major DNS infrastructure named dynDNS. It was actually the Internet of Things (IoT) DNS flood attack that made more than half of websites in the United States unreachable for a significant amount of time. As we are using the Internet for everything in our life, especially health care and transportation, an attack of this type may cause a major disruption. Therefore, in this article, we are going to analyze the DNS flood attacks and propose two mitigation methods. We propose a load distributed mitigation process which will work as a quick escape route of the legitimate traffic from the attack field. Our solution mainly involves service level changes which can be implemented with collaboration among service providers. Also, our proposed solution is very cost effective as compared to the cost of downtime of the domain names caused by a DNS flood attack. Furthermore, we propose a benign-bot mitigation method and a business model for the method. In the benign-bot mitigation method, a bot program is installed in customers' DNS local servers to allow IP addresses of a list of paid businesses' websites to maintain in the caches so that the websites can be accessed even when the DNS servers are down.",10.1109/JIOT.2019.2947659,2-s2.0-85079754375,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079754375&origin=inward,,0.0,Load Distributed and Benign-Bot Mitigation Methods for IoT DNS Flood Attacks,2020
"As more and more services are provided by servers via the Internet, Denial-of-Service (DoS) attacks pose an increasing threat to the Internet community. A DoS attack overloads the target server with a large volume of adverse requests, thereby rendering the server unavailable to well-behaved users. In this paper, we propose two algorithms that allow attack targets to dynamically filter their incoming traffic based on a distributed policy. The proposed algorithms defend the target against DoS and distributed DoS (DDoS) attacks and simultaneously ensure that it continues to serve well-behaved users. In a nutshell, a target can define a filtering policy which consists of a set of traffic classification rules and the corresponding amounts of traffic for each rule. A filtering algorithm is enforced by the ISP's routers when a target is being overloaded with traffic. The goal is to maximize the amount of filtered traffic forwarded to the target, according to the filtering policy, from the ISP. The first proposed algorithm is a collaborative algorithm which computes and delivers to the target the best possible traffic mix in polynomial time. The second algorithm is a distributed non-collaborative algorithm for which we prove a lower bound on the worst-case performance. © 2011 World Scientific Publishing Company.",10.1142/S012905411100857X,2-s2.0-80051675657,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80051675657&origin=inward,,0.0,Trawling traffic under attack overcoming ddos attacks by target-controlled traffic filtering,2011
"© Springer Nature Singapore Pte Ltd. 2019.Distributed Denial of Service (DDoS) attack is one of the most prevalent attacks on the internet today which attacks the availability of the server by resource and bandwidth depletion exhaustion. Many mechanisms exist to fight against DDoS attack, a set of which are the cooperative defense mechanisms which work in a distributed manner and are more robust. This work makes use of one of the latest meta-heuristic optimization techniques, Whale Optimization Algorithm (WOA) to find underutilized internet cache servers which are in best position to absorb DDoS flood. These multiple caches will absorb a part of the attack flood thus preventing the victim’s network from getting congested. For effective allocation of these cache resources a Continuous Double Auction (CDA) mechanism is applied. It is more flexible and efficient as it allows simultaneous bidding by sellers and buyers. The cache servers are selected through multi-objective WOA in MATLAB and then the auction platform is set-up using Actor Model. In cooperative defense, selection of a pricing strategy which maximizes collateral profit is very important so a round-wise bidding strategy is implemented which promotes long-term participation. For evaluation of the scheme, the workload traces of distributed servers are used to generate three scenarios under different attack load conditions. Depending on the supply-demand of free cache resources, the results show that the proposed algorithm has high detection rate of close optimum solutions. This leads to increased throughput because the attack traffic is not only shared, but is shared in a balanced way.",10.1007/978-981-13-3143-5_33,2-s2.0-85058291104,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058291104&origin=inward,,0.0,Cooperative Mitigation of DDoS Attacks Using an Optimized Auction Scheme on Cache Servers,2019
"Cloud computing is used extensively to deliver utility computing over the Internet. Defending network acces-sible Cloud resources and services from various threats and attacks is of great concern. Intrusion Detection Sys-tem (IDS) has become popular as an important network security technology to detect cyber-attacks. In this paper, we propose a novel Collaborative IDS (CIDS) Framework for cloud. We use Snort to detect the known stealthy attacks using signature matching. To detect unknown at-tacks, anomaly detection system (ADS) is built using De-cision Tree Classifier and Support Vector Machine (SVM). Alert Correlation and automatic signature generation re-duce the impact of Denial of Service (DoS)/Distributed DoS (DDoS) attacks and increase the performance and accuracy of IDS.",,2-s2.0-84953450040,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84953450040&origin=inward,,31.0,Collaborative IDS framework for cloud,2016
"The resource constraint characteristic of sensor nodes make wireless sensor networks (WSN) very vulnerable to resource depletion attack such as DoS/DDos attack. On the other hand, the resource constraint characteristic also makes anomaly detection a challenging problem in WSN. To address the challenge, this paper presents an anomaly detection framework by taking the advantages of artificial immune system (AIS) and fuzzy theory. The proposed framework incorporates three components: local danger sensing, co-stimulation and global recognition. Due to the hierarchical structure and cooperative mechanism, the proposed model shows more advantages in detection performance than conventional method. The simulation results show that compared to watchdog method, the proposed method can provide higher detection rate and lower false detection rate. Moreover, the propose method shows advantages in flexibility and adaptability. © 2012 ACADEMY PUBLISHER.",10.4304/jnw.7.8.1214-1219,2-s2.0-84866051331,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84866051331&origin=inward,,7.0,Biologically inspired anomaly detection for hierarchical wireless sensor networks,2012
"Distributed denial of service is flooding of network with unrelated information by malicious node in network. These causes an authorized services deny from user. Thus poses a major security threat in network. The mitigation of denial of service become hard when it comes to distributed environment. Denial of service can be of any form either ping of death or clone attack. In existing system these can be overcome using filtering technique namely blackhole and sinkhole. Filtering malicious traffic can be integrated with firewall hardware or software. Firecol act as an intrusion prevention system which prevent the network attack using IPS rules. This form a virtual mitigation shield around the network by clusters of IPS system. The above mentioned attack can be detected using honeypot, an IDS(intrusion detection system). So we propose an approach called 'IHoneycol' which effectively mitigates distributed denial of service in an efficient manner. © 2013 IEEE.",10.1109/ICICES.2013.6508281,2-s2.0-84879853906,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84879853906&origin=inward,,3.0,IHoneycol: A distributed collaborative approach for mitigation of DDoS attack,2013
"Cloud computing provides a framework for supporting end users easily attaching powerful services and applications through Internet. To provide secure and reliable services in cloud computing environment is an important issue. One of the security issues is how to reduce the impact of denial-of-service (DoS) attack or distributed denial-of-service (DDoS) in this environment. To counter these kinds of attacks, a framework of cooperative intrusion detection system (IDS) is proposed. The proposed system could reduce the impact of these kinds of attacks. To provide such ability, IDSs in the cloud computing regions exchange their alerts with each other. In the system, each of IDSs has a cooperative agent used to compute and determine whether to accept the alerts sent from other IDSs or not. By this way, IDSs could avoid the same type of attack happening. The implementation results indicate that the proposed system could resist DoS attack. Moreover, by comparison, the proposed cooperative IDS system only increases little computation effort compared with pure Snort based IDS but prevents the system from single point of failure attack. © 2010 IEEE.",10.1109/ICPPW.2010.46,2-s2.0-78649815408,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78649815408&origin=inward,,138.0,A cooperative intrusion detection system framework for cloud computing networks,2010
"© 2015 The Science and Information (SAI) Organization Limited.In Today's Digital World, the continuous interruption of users has affected Web Servers (WSVRs), through Distributed Denial-of-Service (DDoS) attacks. These attacks always remain a massive warning to the World Wide Web (WWW). These warnings can interrupt the accessibility of WSVRs, completely by disturbing each data processing before intercommunication properties over pure dimensions of Data-Driven Networks (DDN), management and cooperative communities on the Internet technology. The purpose of this research is to find, describe and test existing tools and features available in Linux-based solution lab design Availability Protection System (Linux-APS), for filtering malicious traffic flow of DDoS attacks. As source of malicious traffic flow takes most widely used DDoS attacks, targeting WSVRs. Synchronize (SYN), User Datagram Protocol (UDP) and Internet Control Message Protocol (ICMP) Flooding attacks are described and different variants of the mitigation techniques are explained. Available cooperative tools for manipulating with network traffic, like; Ebtables and Iptables tools are compared, based on each type of attacks. Specially created experimental network was used for testing purposes, configured filters servers and bridge. Inspected packets flow through Linux-kernel network stack along with tuning options serving for increasing filter server traffic throughput. In the part of contribution as an outcomes, Ebtables tool appears to be most productive, due to less resources it needed to process each packet (frame). It is pointed out that separate detecting system is needed for this tool, in order to provide further filtering methods with data. As main conclusion, Linux-APS, solutions provide full functionality for filtering malicious traffic flow of DDoS attacks either in stand-alone state or combined with detecting systems.",10.14569/IJACSA.2018.090248,2-s2.0-85049535997,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049535997&origin=inward,,3.0,A Novel DDoS floods detection and testing approaches for network traffic based on Linux Techniques,2018
